name,description,language,visibility,stars,forks,watchers,total_issues,open_issues,closed_issues,total_prs,merged_prs,rejected_prs,open_prs,issue_resolution_time_avg,pr_resolution_time_avg,created_at,last_commit,size_kb,default_branch,license,is_template
aws-deepracer-device-info-pkg,The DeepRacer Device Info ROS package creates the device_info_node that is responsible for providing the hardware version of the AWS DeepRacer device and software version of aws-deepracer-core debian package.,Python,public,1,4,1,0,0,0,2,2,0,0,0.0,1.0,2021-02-24 17:40:40,3 years ago,34,main,Apache License 2.0,False
aws-deepracer-camera-pkg,The DeepRacer Camera ROS package creates the camera_node that is responsible for reading the raw data from the one/two cameras connected to the USB slots at the front of the AWS DeepRacer device and publishing them as CameraMsg.,C++,public,4,6,4,1,0,1,4,2,0,2,27.0,1.5,2021-02-23 04:11:18,3 years ago,35,main,Apache License 2.0,False
aws-deepracer,"Simulation artifacts, core components and configuration files to integrate AWS DeepRacer device with ROS Navigation stack.",Python,public,50,37,50,7,2,5,4,1,1,2,7.6,3.0,2021-10-04 20:10:12,2 years ago,97356,main,Apache License 2.0,False
aws-deepracer-ctrl-pkg,"The DeepRacer Control ROS package creates the ctrl_node that manages the different mode of operation of the device [manual, autonomous, calibration].",C++,public,4,5,4,0,0,0,2,2,0,0,0.0,1.5,2021-02-24 17:34:32,3 years ago,54,main,Apache License 2.0,False
aws-deepracer-follow-the-leader-sample-project,Learn to deploy an object detection model that enables the AWS DeepRacer device to identify and follow an object. ,Python,public,64,36,64,2,1,1,2,2,0,0,14.0,1.0,2021-02-25 19:01:22,2 years ago,29486,main,Apache License 2.0,False
aws-deepracer-i2c-pkg,The DeepRacer I2C ROS package creates the battery_node that is responsible for providing the vehicle battery level information.,C++,public,1,4,1,0,0,0,3,2,0,1,0.0,2.0,2021-02-24 17:43:00,3 years ago,28,main,Apache License 2.0,False
aws-deepracer-inference-pkg,The DeepRacer Inference ROS package creates the inference_node that is responsible for running the inference on the machine learning model that is selected using the Intel OpenVino Inference Engine APIs.,C++,public,5,7,5,0,0,0,5,2,0,3,0.0,1.0,2021-02-24 17:44:03,3 years ago,39,main,Apache License 2.0,False
aws-deepracer-interfaces-pkg,The DeepRacer Interfaces ROS package is a foundational package that creates the custom service and message types that are used in the core AWS DeepRacer application.,CMake,public,2,7,2,0,0,0,4,1,2,1,0.0,155.7,2021-02-24 17:36:04,3 years ago,26,main,Apache License 2.0,False
aws-deepracer-launcher,Build robotics applications with AWS DeepRacer device software and hardware: https://www.amazon.com/dp/B07JMHRKQG,Python,public,104,37,104,1,0,1,3,3,0,0,588.0,0.0,2021-02-24 17:41:48,5 months ago,2942,main,Apache License 2.0,False
aws-deepracer-mapping-sample-project,"In this project, use the AWS DeepRacer car to draw a map with SLAM (Simultaneous Localization and Mapping), a technique for creating a map of an environment by estimating a deviceâ€™s current location as it moves through a space.",,public,26,9,26,0,0,0,2,2,0,0,0.0,1.0,2021-02-25 19:03:06,3 years ago,8588,main,Apache License 2.0,False
aws-deepracer-notebooks,"Provides a jailbreak experience of AWS DeepRacer, giving us more control over the training/simulation process and RL algorithm tuning",,public,17,13,17,0,0,0,0,0,0,0,0.0,0.0,2021-06-16 22:48:28,"1 year, 8 months ago",21346,main,Apache License 2.0,False
aws-deepracer-navigation-pkg,The DeepRacer Navigation ROS package creates the deepracer_navigation_node that is responsible for collecting the RL model inference results and mapping it to the servo message based on the action space for the particular model selected.,Python,public,3,6,3,0,0,0,1,1,0,0,0.0,0.0,2021-02-24 17:37:58,3 years ago,30,main,Apache License 2.0,False
aws-deepracer-model-optimizer-pkg,The DeepRacer Model Optimizer ROS package creates the model_optimizer_node that is responsible for running the Intel OpenVino Model Optimizer script on the DeepRacer reinforcement learning models to obtain the optimized artifacts.,Python,public,5,6,5,0,0,0,3,1,0,2,0.0,0.0,2021-02-24 17:45:03,3 years ago,32,main,Apache License 2.0,False
aws-deepracer-offroad-sample-project,Use a series of QR codes as waypoints to navigate the AWS DeepRacer around a custom path. Create your own custom path by placing the basic waypoint codes as a sequence along the track or encode additional instructions in them to invent new applications.,Python,public,15,12,15,0,0,0,2,2,0,0,0.0,0.5,2021-04-06 21:33:02,2 years ago,19728,main,Apache License 2.0,False
aws-deepracer-servo-pkg,The DeepRacer Servo ROS package creates the servo_node that is responsible to map the input servo throttle and steering angle messages to raw PWM values to move the car.,C++,public,4,7,4,1,0,1,1,1,0,0,13.0,1.0,2021-02-24 17:47:19,2 years ago,40,main,Apache License 2.0,False
aws-deepracer-sensor-fusion-pkg,The DeepRacer Sensor Fusion ROS package creates the sensor_fusion_node that is responsible for collecting the messages from all the sensors (Camera+LiDAR) and publish the combined sensor message.,C++,public,11,12,11,1,0,1,3,2,0,1,0.0,1.0,2021-02-24 17:45:58,3 years ago,64,main,Apache License 2.0,False
aws-deepracer-status-led-pkg,The DeepRacer Status LED ROS package creates the status_led_node responsible for the blink and solid light effects on Wi-Fi and Power status led lights by the side of the DeepRacer device.,Python,public,1,5,1,0,0,0,2,2,0,0,0.0,1.5,2021-02-24 17:48:23,3 years ago,36,main,Apache License 2.0,False
aws-deepracer-systems-pkg,"The DeepRacer Systems ROS package creates the software_update_node, model_loader_node, otg_control_node, network_monitor_node which are responsible for managing system level functionalities required in the DeepRacer application.",Python,public,1,8,1,0,0,0,3,2,0,1,0.0,1.5,2021-02-24 17:39:05,3 years ago,90,main,Apache License 2.0,False
aws-deepracer-usb-monitor-pkg,The DeepRacer USB Monitor ROS package creates the usb_monitor_node which monitors the connection/disconnection of the USB drive and provides functionality to watch for specific files/folders in it.,Python,public,2,5,2,0,0,0,1,1,0,0,0.0,1.0,2021-02-24 17:49:18,3 years ago,34,main,Apache License 2.0,False
deepracer-compat-reward-function,,Python,public,3,3,3,0,0,0,0,0,0,0,0.0,0.0,2022-03-22 22:34:23,2 years ago,13,main,Apache License 2.0,False
deepracer-env,"A Python library to interface ""RL Lab - DeepRacer"" environment.",Python,public,4,3,4,0,0,0,0,0,0,0,0.0,0.0,2022-01-19 22:00:02,2 years ago,42,main,Apache License 2.0,False
aws-deepracer-webserver-pkg,The DeepRacer Web Server ROS package creates the web_publisher_node which launches a Flask application as a background thread and creates service clients and subscribers for all the services and topics that are required by the APIs called from the DeepRacer vehicle console.,Python,public,2,7,2,0,0,0,2,2,0,0,0.0,0.5,2021-02-24 17:50:06,3 years ago,92,main,Apache License 2.0,False
deepracer-env-config,"A python library to manipulate ""RL Lab - DeepRacer"" environment configurations over the UDE side-channel.",Python,public,3,3,3,0,0,0,0,0,0,0,0.0,0.0,2022-01-19 21:57:36,2 years ago,58,main,Apache License 2.0,False
deepracer-env-state,,Python,public,1,3,1,0,0,0,0,0,0,0,0.0,0.0,2022-03-22 22:41:29,2 years ago,23,main,Apache License 2.0,False
deepracer-track-geometry,"The AWS DeepRacer Track Geometry package provides a simple interface to access ""RL Lab - DeepRacer"" track information.",Python,public,3,3,3,0,0,0,0,0,0,0,0.0,0.0,2022-02-21 22:18:49,2 years ago,276,main,Apache License 2.0,False
ros-kvs-streamer,ROS1 kinesis video streamer,Python,public,2,1,2,0,0,0,0,0,0,0,0.0,0.0,2022-06-08 23:43:04,2 years ago,27,main,Apache License 2.0,False
ros-video-recorder,ROS1 Video Recorder to save MP4 files from camera topic and upload to s3 bucket,Python,public,2,2,2,0,0,0,0,0,0,0,0.0,0.0,2022-06-08 23:35:24,2 years ago,29,main,Apache License 2.0,False
deepsim,An open-source reinforcement learning environment build toolkit for ROS and Gazebo.,Python,public,22,5,22,2,0,2,0,0,0,0,17.0,0.0,2022-01-28 19:25:50,2 years ago,322,main,Apache License 2.0,False
ude,An open source Python library for virtualizing reinforcement learning environments.,Python,public,2,3,2,0,0,0,0,0,0,0,0.0,0.0,2022-01-19 00:09:27,2 years ago,117,main,Apache License 2.0,False
ude-gym-bridge,A bridge implementation of Unified Distributed Environment (UDE) to provide the integration between UDE and OpenAI Gym.,Jupyter Notebook,public,2,4,2,0,0,0,0,0,0,0,0.0,0.0,2022-01-28 22:58:48,2 years ago,41,main,Apache License 2.0,False
ude-ros-bridge,A bridge implementation of Unified Distributed Environment (UDE) to provide the integration between UDE and ROS.,Python,public,2,3,2,0,0,0,0,0,0,0,0.0,0.0,2022-01-28 22:57:16,2 years ago,52,main,Apache License 2.0,False
